id,total,asian,black,hispanic,white,indian_american,indian_american
291288884,9,0,6,2,1,0,0
291288885,6,0,4,1,1,0,0
291289180,6,0,0,6,0,0,0
291289181,2,0,1,0,1,0,0
291289182,12,0,1,7,4,0,0
291291580,13,0,5,4,4,0,0
291291581,6,0,0,3,3,0,0
291406378,4,0,0,1,3,0,0
291407292,12,0,1,7,4,0,0
291407293,20,0,4,9,7,0,0
291407927,9,0,3,1,5,0,0
291408423,18,0,1,7,10,0,0
291408504,3,0,0,0,3,0,0
291408505,4,0,0,2,2,0,0
291408589,14,0,4,4,4,0,0
291408608,20,1,1,3,14,0,0
292002079,1,0,0,0,1,0,0
292002956,4,0,0,3,1,0,0
292005492,1,0,0,1,0,0,0
292006078,25,0,5,6,12,0,0
292345683,1,0,0,0,1,0,0
292807008,7,1,2,0,4,0,0
292809271,9,0,1,0,7,0,0
292811258,6,0,3,0,2,0,0
292811259,3,0,0,0,3,0,0
292812690,3,0,0,0,3,0,0
292967031,1,0,0,0,0,0,0
293243028,1,0,0,0,1,0,0
293243204,1,0,0,0,1,0,0
294440126,21,0,7,4,9,0,0
294440127,14,0,3,2,8,0,0
294582916,2,0,1,0,1,0,0
294582918,4,0,2,0,2,0,0
294582920,21,0,11,3,5,0,0
294582922,4,0,2,2,0,0,0
294589720,154,0,49,14,82,0,1
294591218,46,0,4,1,39,0,0
294599891,1,0,0,0,1,0,0
294600547,1,0,1,0,0,0,0
295037245,5,0,5,0,0,0,0
295175437,2,0,0,0,1,0,1
295175439,1,0,0,0,1,0,0
295307366,4,0,1,0,2,0,0
295506489,2,0,1,1,0,0,0
295506491,1,0,0,0,1,0,0
295506493,1,0,0,1,0,0,0
295506497,5,0,2,1,1,0,1
295506501,1,0,0,1,0,0,0
295506504,13,0,2,6,5,0,0
295875086,10,0,7,1,2,0,0
295875087,13,2,6,3,2,0,0
295919308,3,0,2,0,1,0,0
